id,ra,dec
1,267.68,-29.61
2,267.68,-29.61
3,267.68,-29.61
4,267.68,-29.61
5,267.68,-29.61
6,267.68,-29.61
7,267.68,-29.61
8,267.68,-29.61
9,267.68,-29.61
10,267.68,-29.61
11,267.68,-29.61
12,267.68,-29.61
13,267.68,-29.61
14,267.68,-29.61
15,267.68,-29.61
16,267.68,-29.61
17,267.68,-29.61
18,267.68,-29.61
19,267.68,-29.61
20,266.04,-26.98
21,266.04,-26.98
22,266.04,-26.98
23,266.04,-26.98
24,266.04,-26.98
25,266.04,-26.98
26,266.04,-26.98
27,266.04,-26.98
28,266.04,-26.98
29,266.04,-26.98
30,266.04,-26.98
31,266.04,-26.98
32,266.04,-26.98
33,266.04,-26.98
34,266.04,-26.98
35,266.04,-26.98
36,266.04,-26.98
37,266.04,-26.98
38,266.04,-26.98
